number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_macro_f1,state,trial_number,feature_map_type,reps,entanglement,paulis,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
26,0.8341307814992026,2026-05-16 10:02:03.145330,2026-05-16 10:02:23.444478,0 days 00:00:20.299148,full,PauliFeatureMap,"[""Y"", ""Z""]",3,0.8341307814992026,COMPLETE,26,PauliFeatureMap,3,full,"[""Y"", ""Z""]",completed,,0.8333333333333334,0.8425925925925926,0.8333333333333334,0.8341307814992026,0.8341307814992026,12.13297910662368,8.16274601733312,104.1,252.89453125,
27,0.8026483320600967,2026-05-16 10:02:23.446327,2026-05-16 10:02:38.709449,0 days 00:00:15.263122,full,PauliFeatureMap,"[""ZZ""]",2,0.8026483320600967,COMPLETE,27,PauliFeatureMap,2,full,"[""ZZ""]",completed,,0.8,0.8282828282828283,0.8000000000000002,0.8026483320600967,0.8026483320600967,9.11168320197612,6.147850445937365,102.0,252.9140625,
28,0.8666666666666667,2026-05-16 10:02:38.710294,2026-05-16 10:02:54.145457,0 days 00:00:15.435163,full,PauliFeatureMap,"[""X"", ""Z""]",2,0.8666666666666667,COMPLETE,28,PauliFeatureMap,2,full,"[""X"", ""Z""]",completed,,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,9.281232971232384,6.149423919152468,172.5,252.96484375,
29,0.6726841257733707,2026-05-16 10:02:54.146292,2026-05-16 10:03:13.351956,0 days 00:00:19.205664,linear,PauliFeatureMap,"[""Z"", ""ZZ""]",3,0.6726841257733707,COMPLETE,29,PauliFeatureMap,3,linear,"[""Z"", ""ZZ""]",completed,,0.6666666666666666,0.6933760683760685,0.6666666666666666,0.6726841257733707,0.6726841257733707,11.47158731566742,7.729829604271799,136.5,253.046875,
30,0.9333333333333332,2026-05-16 10:03:13.352802,2026-05-16 10:03:22.881498,0 days 00:00:09.528696,full,PauliFeatureMap,"[""Z""]",2,0.9333333333333332,COMPLETE,30,PauliFeatureMap,2,full,"[""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,5.6143086287193,3.907837125007063,101.7,253.046875,
31,0.9333333333333332,2026-05-16 10:03:22.882329,2026-05-16 10:03:38.116787,0 days 00:00:15.234458,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,31,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.102235318161547,6.126259135082364,15818.2,253.046875,
32,0.9333333333333332,2026-05-16 10:03:38.117628,2026-05-16 10:03:53.303037,0 days 00:00:15.185409,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,32,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.073733303695917,6.102182587143034,124.0,253.046875,
33,0.9333333333333332,2026-05-16 10:03:53.303878,2026-05-16 10:04:08.402013,0 days 00:00:15.098135,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,33,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,8.978169554844499,6.114416510332376,101.7,253.10546875,
34,0.0,2026-05-16 10:04:08.404093,2026-05-16 10:04:08.407175,0 days 00:00:00.003082,linear,ZFeatureMap,,2,,COMPLETE,34,ZFeatureMap,2,linear,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
35,0.771345029239766,2026-05-16 10:04:08.407830,2026-05-16 10:04:29.738649,0 days 00:00:21.330819,full,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,0.771345029239766,COMPLETE,35,PauliFeatureMap,2,full,"[""X"", ""Y"", ""Z""]",completed,,0.7666666666666667,0.7787878787878787,0.7666666666666666,0.771345029239766,0.771345029239766,12.784255668055266,8.54314914625138,109.8,253.109375,
36,0.0,2026-05-16 10:04:29.739467,2026-05-16 10:04:29.742423,0 days 00:00:00.002956,full,ZFeatureMap,,2,,COMPLETE,36,ZFeatureMap,2,full,,failed,'NoneType' object has no attribute 'items',,,,,,,,,,
37,0.9333333333333332,2026-05-16 10:04:29.743034,2026-05-16 10:04:45.018490,0 days 00:00:15.275456,linear,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,37,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.223666969686747,6.048383680172265,105.3,253.109375,
38,0.8026483320600968,2026-05-16 10:04:45.019322,2026-05-16 10:04:55.329469,0 days 00:00:10.310147,full,PauliFeatureMap,"[""Y"", ""Z""]",1,0.8026483320600968,COMPLETE,38,PauliFeatureMap,1,full,"[""Y"", ""Z""]",completed,,0.8,0.8282828282828283,0.7999999999999999,0.8026483320600968,0.8026483320600967,6.1517075058072805,4.1539197522215545,107.9,253.109375,
39,0.9333333333333332,2026-05-16 10:04:55.330305,2026-05-16 10:05:10.592782,0 days 00:00:15.262477,full,PauliFeatureMap,"[""Y"", ""Z""]",2,0.9333333333333332,COMPLETE,39,PauliFeatureMap,2,full,"[""Y"", ""Z""]",completed,,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333333,9.09098078403622,6.166951931081712,112.8,253.12109375,
