number,value,datetime_start,datetime_complete,duration,params_entanglement,params_feature_map_type,params_paulis,params_reps,user_attrs_canonical_params,user_attrs_macro_f1,state,trial_number,suggested_feature_map_type,suggested_reps,suggested_entanglement,suggested_paulis,feature_map_type,reps,entanglement,paulis,cache_hit,status,error_message,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,fit_time_seconds,inference_time_seconds,peak_cpu_percent,peak_ram_mb,peak_gpu_memory_mb
20,0.8803299097416745,2026-06-26 23:57:58.553724,2026-06-26 23:57:58.555368,0 days 00:00:00.001644,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,20,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",True,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,22.480409256000712,12.428815307997866,122.4,548.7421875,2772.59375
21,0.8803299097416745,2026-06-26 23:57:58.555457,2026-06-26 23:57:58.556936,0 days 00:00:00.001479,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,21,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",True,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,22.480409256000712,12.428815307997866,122.4,548.7421875,2772.59375
22,0.8803299097416745,2026-06-26 23:57:58.557021,2026-06-26 23:57:58.558371,0 days 00:00:00.001350,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,22,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",True,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,22.480409256000712,12.428815307997866,122.4,548.7421875,2772.59375
23,0.8803299097416745,2026-06-26 23:57:58.558455,2026-06-26 23:57:58.559816,0 days 00:00:00.001361,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,23,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",True,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,22.480409256000712,12.428815307997866,122.4,548.7421875,2772.59375
24,0.18666666666666668,2026-06-26 23:57:58.559899,2026-06-26 23:58:42.834679,0 days 00:00:44.274780,full,PauliFeatureMap,"[""Z"", ""ZZ""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Z"", ""ZZ""], ""reps"": 2}",0.18666666666666668,COMPLETE,24,PauliFeatureMap,2,full,"[""Z"", ""ZZ""]",PauliFeatureMap,2,full,"[""Z"", ""ZZ""]",False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,24.26631582799746,19.999322265000956,108.6,550.9296875,2725.41796875
25,0.18666666666666668,2026-06-26 23:58:42.834868,2026-06-26 23:58:42.836594,0 days 00:00:00.001726,full,ZFeatureMap,,2,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.18666666666666668,COMPLETE,25,ZFeatureMap,2,full,,ZFeatureMap,2,,,True,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,12.654675564997888,8.262897252003313,284.1,550.7109375,2725.41796875
26,0.8803299097416745,2026-06-26 23:58:42.836683,2026-06-26 23:59:21.131354,0 days 00:00:38.294671,full,PauliFeatureMap,"[""X"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,26,PauliFeatureMap,2,full,"[""X"", ""Z""]",PauliFeatureMap,2,full,"[""X"", ""Z""]",False,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,23.62059250799939,14.668822984000144,102.6,550.9296875,2725.41796875
27,0.6888888888888888,2026-06-26 23:59:21.131536,2026-06-27 00:00:10.139579,0 days 00:00:49.008043,full,PauliFeatureMap,"[""X"", ""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""X"", ""Y"", ""Z""], ""reps"": 2}",0.6888888888888888,COMPLETE,27,PauliFeatureMap,2,full,"[""X"", ""Y"", ""Z""]",PauliFeatureMap,2,full,"[""X"", ""Y"", ""Z""]",False,completed,,0.7222222222222222,0.7375000000000002,0.692857142857143,0.6888888888888888,0.7074074074074074,30.858462486998178,18.13721967099991,104.6,550.9296875,2725.41796875
28,0.18666666666666668,2026-06-27 00:00:10.139758,2026-06-27 00:00:31.004168,0 days 00:00:20.864410,circular,PauliFeatureMap,"[""ZZ""]",2,"{""entanglement"": ""circular"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""ZZ""], ""reps"": 2}",0.18666666666666668,COMPLETE,28,PauliFeatureMap,2,circular,"[""ZZ""]",PauliFeatureMap,2,circular,"[""ZZ""]",False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,12.600273188996653,8.26226186400163,127.9,550.9296875,2709.48046875
29,0.18666666666666668,2026-06-27 00:00:31.004346,2026-06-27 00:00:31.005823,0 days 00:00:00.001477,linear,ZFeatureMap,,2,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 2}",0.18666666666666668,COMPLETE,29,ZFeatureMap,2,linear,,ZFeatureMap,2,,,True,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,12.654675564997888,8.262897252003313,284.1,550.7109375,2725.41796875
30,0.18666666666666668,2026-06-27 00:00:31.005909,2026-06-27 00:00:55.919610,0 days 00:00:24.913701,linear,PauliFeatureMap,"[""Z""]",2,"{""entanglement"": ""linear"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Z""], ""reps"": 2}",0.18666666666666668,COMPLETE,30,PauliFeatureMap,2,linear,"[""Z""]",PauliFeatureMap,2,linear,"[""Z""]",False,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,14.733492507002666,10.175013854997815,103.2,550.9296875,2709.48046875
31,0.8803299097416745,2026-06-27 00:00:55.919766,2026-06-27 00:00:55.921395,0 days 00:00:00.001629,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,31,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",True,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,22.480409256000712,12.428815307997866,122.4,548.7421875,2772.59375
32,0.8803299097416745,2026-06-27 00:00:55.921481,2026-06-27 00:00:55.922979,0 days 00:00:00.001498,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,32,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",True,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,22.480409256000712,12.428815307997866,122.4,548.7421875,2772.59375
33,0.8803299097416745,2026-06-27 00:00:55.923061,2026-06-27 00:00:55.924479,0 days 00:00:00.001418,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,33,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",True,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,22.480409256000712,12.428815307997866,122.4,548.7421875,2772.59375
34,0.8803299097416745,2026-06-27 00:00:55.924563,2026-06-27 00:00:55.926052,0 days 00:00:00.001489,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,34,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",True,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,22.480409256000712,12.428815307997866,122.4,548.7421875,2772.59375
35,0.18666666666666668,2026-06-27 00:00:55.926135,2026-06-27 00:00:55.927373,0 days 00:00:00.001238,linear,ZFeatureMap,,1,"{""entanglement"": null, ""feature_map_type"": ""ZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.18666666666666668,COMPLETE,35,ZFeatureMap,1,linear,,ZFeatureMap,1,,,True,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,12.44180126599531,8.345431320005446,104.1,548.7421875,2772.59375
36,0.8803299097416745,2026-06-27 00:00:55.927454,2026-06-27 00:00:55.928860,0 days 00:00:00.001406,full,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""full"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,36,PauliFeatureMap,2,full,"[""Y"", ""Z""]",PauliFeatureMap,2,full,"[""Y"", ""Z""]",True,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,22.480409256000712,12.428815307997866,122.4,548.7421875,2772.59375
37,0.18666666666666668,2026-06-27 00:00:55.928941,2026-06-27 00:00:55.930199,0 days 00:00:00.001258,full,ZZFeatureMap,,1,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.18666666666666668,COMPLETE,37,ZZFeatureMap,1,full,,ZZFeatureMap,1,full,,True,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,14.493415372002346,11.029597321001347,102.2,549.3984375,2482.38671875
38,0.8803299097416745,2026-06-27 00:00:55.930290,2026-06-27 00:01:35.726904,0 days 00:00:39.796614,linear,PauliFeatureMap,"[""Y"", ""Z""]",2,"{""entanglement"": ""linear"", ""feature_map_type"": ""PauliFeatureMap"", ""paulis"": [""Y"", ""Z""], ""reps"": 2}",0.8803299097416745,COMPLETE,38,PauliFeatureMap,2,linear,"[""Y"", ""Z""]",PauliFeatureMap,2,linear,"[""Y"", ""Z""]",False,completed,,0.8888888888888888,0.9095238095238095,0.8761904761904762,0.8803299097416745,0.8861655773420478,24.391078242995718,15.405068300999119,101.4,550.9296875,2709.48046875
39,0.18666666666666668,2026-06-27 00:01:35.727058,2026-06-27 00:01:35.728869,0 days 00:00:00.001811,full,ZZFeatureMap,,1,"{""entanglement"": ""full"", ""feature_map_type"": ""ZZFeatureMap"", ""paulis"": null, ""reps"": 1}",0.18666666666666668,COMPLETE,39,ZZFeatureMap,1,full,,ZZFeatureMap,1,full,,True,completed,,0.3888888888888889,0.12962962962962962,0.3333333333333333,0.18666666666666668,0.2177777777777778,14.493415372002346,11.029597321001347,102.2,549.3984375,2482.38671875
